Dates,States,Usage
01/08/2020 00:00:00,Punjab,214.3
02/08/2020 00:00:00,Punjab,219.2
03/08/2020 00:00:00,Punjab,228.4
04/08/2020 00:00:00,Punjab,224.1
05/08/2020 00:00:00,Punjab,111.2
01/09/2020 00:00:00,Punjab,116.5
02/09/2020 00:00:00,Punjab,114.0
03/09/2020 00:00:00,Punjab,101.7
04/09/2020 00:00:00,Punjab,91.6
05/09/2020 00:00:00,Punjab,97.3
01/10/2020 00:00:00,Punjab,93.8
02/10/2020 00:00:00,Punjab,290.1
03/10/2020 00:00:00,Punjab,282.1
04/10/2020 00:00:00,Punjab,300.0
05/10/2020 00:00:00,Punjab,289.9
01/11/2020 00:00:00,Punjab,284.4
02/11/2020 00:00:00,Punjab,271.4
03/11/2020 00:00:00,Punjab,270.0
04/11/2020 00:00:00,Punjab,124.3
05/11/2020 00:00:00,Punjab,124.4
01/12/2020 00:00:00,Punjab,130.8
02/12/2020 00:00:00,Punjab,129.4
03/12/2020 00:00:00,Punjab,132.1
04/12/2020 00:00:00,Punjab,132.1
05/12/2020 00:00:00,Punjab,120.4
02/01/2019 00:00:00,Haryana,130.3
03/01/2019 00:00:00,Haryana,133.5
04/01/2019 00:00:00,Haryana,128.2
05/01/2019 00:00:00,Haryana,127.5
06/01/2019 00:00:00,Haryana,132.6
07/01/2019 00:00:00,Haryana,132.1
08/01/2019 00:00:00,Haryana,121.4
09/01/2019 00:00:00,Haryana,148.2
10/01/2019 00:00:00,Haryana,157.0
11/01/2019 00:00:00,Haryana,145.3
12/01/2019 00:00:00,Haryana,151.9
13/01/2019 00:00:00,Haryana,141.4
14/01/2019 00:00:00,Haryana,143.8
15/01/2019 00:00:00,Haryana,142.9
16/01/2019 00:00:00,Haryana,180.5
17/01/2019 00:00:00,Haryana,196.4
18/01/2019 00:00:00,Haryana,193.9
19/01/2019 00:00:00,Haryana,201.8
20/01/2019 00:00:00,Haryana,192.3
21/01/2019 00:00:00,Haryana,182.9
22/01/2019 00:00:00,Haryana,178.2
23/01/2019 00:00:00,Haryana,150.5
24/01/2019 00:00:00,Haryana,154.7
25/01/2019 00:00:00,Haryana,155.2
26/01/2019 00:00:00,Haryana,143.2
27/01/2019 00:00:00,Haryana,138.9
28/01/2019 00:00:00,Haryana,148.6
29/01/2019 00:00:00,Haryana,141.8
30/01/2019 00:00:00,Haryana,66.5
31/01/2019 00:00:00,Haryana,68.1
02/02/2019 00:00:00,Haryana,66.7
03/02/2019 00:00:00,Haryana,66.8
04/02/2019 00:00:00,Haryana,71.3
05/02/2019 00:00:00,Haryana,70.3
06/02/2019 00:00:00,Haryana,71.2
07/02/2019 00:00:00,Haryana,96.2
08/02/2019 00:00:00,Haryana,105.6
09/02/2019 00:00:00,Haryana,116.2
10/02/2019 00:00:00,Haryana,119.5
11/02/2019 00:00:00,Haryana,122.5
12/02/2019 00:00:00,Haryana,117.4
13/02/2019 00:00:00,Haryana,104.3
14/02/2019 00:00:00,Haryana,118.9
15/02/2019 00:00:00,Haryana,125.6
16/02/2019 00:00:00,Haryana,129.1
17/02/2019 00:00:00,Haryana,126.4
