,Forecast
2021-01-03,3533.778561700808
2021-01-04,3483.1623680306266
2021-01-05,3491.0879452191866
2021-01-06,3559.0284540160724
2021-01-07,3501.7776925115186
2021-01-08,3491.2902698336216
2021-01-09,3536.442033431216
2021-01-10,3535.5150343071077
2021-01-11,3484.8988406433814
2021-01-12,3492.8244178590576
2021-01-13,3560.7649266357757
2021-01-14,3503.514165160007
2021-01-15,3493.026742472375
2021-01-16,3538.178506062305
2021-01-17,3537.251506959297
2021-01-18,3486.635313292338
2021-01-19,3494.560890494437
2021-01-20,3562.501399281253
2021-01-21,3505.2506377910713
2021-01-22,3494.7632151083135
2021-01-23,3539.914978702081
2021-01-24,3538.987979588508
2021-01-25,3488.371785923168
2021-01-26,3496.2973631320647
2021-01-27,3564.237871913825
2021-01-28,3506.98711043086
2021-01-29,3496.4996877456615
2021-01-30,3541.6514513375073
2021-01-31,3540.7244522292244
2021-02-01,3490.108258563074
2021-02-02,3498.0338357685673
2021-02-03,3565.974344552859
2021-02-04,3508.7235830662803
2021-02-05,3498.236160382304
2021-02-06,3543.3879239751122
2021-02-07,3542.460924864181
2021-02-08,3491.844731198436
2021-02-09,3499.770308405634
2021-02-10,3567.710817188658
2021-02-11,3510.460055703889
2021-02-12,3499.972633019301
2021-02-13,3545.1243966116276
2021-02-14,3544.197397502022
2021-02-15,3493.581203836074
2021-02-16,3501.506781042418
2021-02-17,3569.447289826077
2021-02-18,3512.196528340402
2021-02-19,3501.7091056561203
2021-02-20,3546.8608692486873
2021-02-21,3545.9338701384177
2021-02-22,3495.3176764725717
2021-02-23,3503.2432536793435
2021-02-24,3571.183762462684
2021-02-25,3513.9330009774626
2021-02-26,3503.4455782930277
2021-02-27,3548.597341885474
2021-02-28,3547.670342775537
2021-03-01,3497.05414910964
2021-03-02,3504.979726316198
2021-03-03,3572.9202350996984
2021-03-04,3515.66947361425
2021-03-05,3505.182050929892
2021-03-06,3550.333814522399
2021-03-07,3549.406815412295
2021-03-08,3498.7906217464238
2021-03-09,3506.7161989530887
2021-03-10,3574.656707736509
2021-03-11,3517.4059462511746
2021-03-12,3506.918523566778
2021-03-13,3552.0702871592543
2021-03-14,3551.143288049234
2021-03-15,3500.52709438335
2021-03-16,3508.452671589961
2021-03-17,3576.3931803734213
2021-03-18,3519.1424188880296
2021-03-19,3508.654996203652
2021-03-20,3553.806759796144
2021-03-21,3552.879760686082
2021-03-22,3502.2635670202044
2021-03-23,3510.1891442268425
2021-03-24,3578.1296530102827
2021-03-25,3520.8788915249197
2021-03-26,3510.3914688405325
2021-03-27,3555.543232433017
2021-03-28,3554.616233322976
2021-03-29,3504.000039657095
2021-03-30,3511.9256168637194
2021-03-31,3579.8661256471696
2021-04-01,3522.615364161792
2021-04-02,3512.12794147741
2021-04-03,3557.279705069898
2021-04-04,3556.3527059598464
2021-04-05,3505.7365122939673
2021-04-06,3513.6620895005985
2021-04-07,3581.602598284044
2021-04-08,3524.3518367986735
2021-04-09,3513.864414114289
2021-04-10,3559.0161777067756
2021-04-11,3558.0891785967297
2021-04-12,3507.472984930849
2021-04-13,3515.3985621374773
2021-04-14,3583.339070920925
2021-04-15,3526.0883094355513
2021-04-16,3515.6008867511678
2021-04-17,3560.752650343655
2021-04-18,3559.825651233606
2021-04-19,3509.209457567726
2021-04-20,3517.135034774356
2021-04-21,3585.0755435578026
2021-04-22,3527.8247820724305
2021-04-23,3517.3373593880465
2021-04-24,3562.4891229805335
2021-04-25,3561.5621238704857
2021-04-26,3510.9459302046057
2021-04-27,3518.8715074112342
2021-04-28,3586.8120161946813
2021-04-29,3529.5612547093083
2021-04-30,3519.0738320249247
2021-05-01,3564.225595617412
2021-05-02,3563.298596507364
2021-05-03,3512.682402841484
2021-05-04,3520.607980048113
2021-05-05,3588.5484888315596
2021-05-06,3531.297727346187
2021-05-07,3520.810304661803
2021-05-08,3565.96206825429
2021-05-09,3565.0350691442422
2021-05-10,3514.418875478362
2021-05-11,3522.344452684991
2021-05-12,3590.2849614684383
2021-05-13,3533.0341999830657
2021-05-14,3522.5467772986817
2021-05-15,3567.6985408911687
2021-05-16,3566.771541781121
2021-05-17,3516.155348115241
2021-05-18,3524.08092532187
2021-05-19,3592.021434105317
2021-05-20,3534.770672619944
2021-05-21,3524.28324993556
2021-05-22,3569.435013528047
2021-05-23,3568.5080144179988
2021-05-24,3517.8918207521187
2021-05-25,3525.8173979587477
2021-05-26,3593.757906742195
2021-05-27,3536.507145256822
2021-05-28,3526.019722572438
2021-05-29,3571.1714861649248
2021-05-30,3570.2444870548766
2021-05-31,3519.6282933889966
2021-06-01,3527.5538705956255
2021-06-02,3595.4943793790726
2021-06-03,3538.2436178936996
2021-06-04,3527.7561952093156
2021-06-05,3572.9079588018026
2021-06-06,3571.9809596917544
2021-06-07,3521.3647660258744
2021-06-08,3529.2903432325033
2021-06-09,3597.2308520159504
2021-06-10,3539.9800905305774
2021-06-11,3529.4926678461934
2021-06-12,3574.6444314386804
2021-06-13,3573.717432328632
2021-06-14,3523.101238662752
2021-06-15,3531.026815869381
2021-06-16,3598.967324652828
2021-06-17,3541.716563167455
2021-06-18,3531.229140483071
2021-06-19,3576.380904075558
2021-06-20,3575.45390496551
2021-06-21,3524.83771129963
2021-06-22,3532.763288506259
2021-06-23,3600.703797289706
2021-06-24,3543.453035804333
2021-06-25,3532.965613119949
2021-06-26,3578.117376712436
2021-06-27,3577.190377602388
2021-06-28,3526.574183936508
2021-06-29,3534.4997611431368
2021-06-30,3602.440269926584
2021-07-01,3545.189508441211
2021-07-02,3534.702085756827
2021-07-03,3579.853849349314
2021-07-04,3578.9268502392656
2021-07-05,3528.3106565733856
2021-07-06,3536.2362337800146
2021-07-07,3604.1767425634616
2021-07-08,3546.9259810780886
2021-07-09,3536.4385583937046
2021-07-10,3581.5903219861916
2021-07-11,3580.6633228761434
2021-07-12,3530.0471292102634
2021-07-13,3537.9727064168924
